invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
536414,22139,Unknown product,56,2010-12-01 11:52:00,0.0,,United Kingdom
536545,21134,Unknown product,1,2010-12-01 14:32:00,0.0,,United Kingdom
536546,22145,Unknown product,1,2010-12-01 14:33:00,0.0,,United Kingdom
536547,37509,Unknown product,1,2010-12-01 14:33:00,0.0,,United Kingdom
536549,85226A,Unknown product,1,2010-12-01 14:34:00,0.0,,United Kingdom
536550,85044,Unknown product,1,2010-12-01 14:34:00,0.0,,United Kingdom
536552,20950,Unknown product,1,2010-12-01 14:34:00,0.0,,United Kingdom
536553,37461,Unknown product,3,2010-12-01 14:35:00,0.0,,United Kingdom
536554,84670,Unknown product,23,2010-12-01 14:35:00,0.0,,United Kingdom
536589,21777,Unknown product,-10,2010-12-01 16:50:00,0.0,,United Kingdom
536764,84952C,Unknown product,-38,2010-12-02 14:42:00,0.0,,United Kingdom
536765,84952C,Unknown product,19,2010-12-02 14:43:00,0.0,,United Kingdom
536941,22734,amazon,20,2010-12-03 12:08:00,0.0,,United Kingdom
536942,22139,amazon,15,2010-12-03 12:08:00,0.0,,United Kingdom
536995,35951,Unknown product,57,2010-12-03 15:29:00,0.0,,United Kingdom
536996,22712,Unknown product,-20,2010-12-03 15:30:00,0.0,,United Kingdom
536997,22028,Unknown product,-20,2010-12-03 15:30:00,0.0,,United Kingdom
536998,85067,Unknown product,-6,2010-12-03 15:30:00,0.0,,United Kingdom
536999,21421,Unknown product,110,2010-12-03 15:32:00,0.0,,United Kingdom
537000,21414,Unknown product,-22,2010-12-03 15:32:00,0.0,,United Kingdom
537001,21653,Unknown product,-6,2010-12-03 15:33:00,0.0,,United Kingdom
537002,21651,Unknown product,70,2010-12-03 15:33:00,0.0,,United Kingdom
537003,85126,Unknown product,-2,2010-12-03 15:33:00,0.0,,United Kingdom
537004,21814,Unknown product,-30,2010-12-03 15:34:00,0.0,,United Kingdom
537005,21692,Unknown product,-70,2010-12-03 15:35:00,0.0,,United Kingdom
537006,21648,Unknown product,-130,2010-12-03 15:36:00,0.0,,United Kingdom
537007,21172,Unknown product,-80,2010-12-03 15:36:00,0.0,,United Kingdom
537008,21161,Unknown product,-120,2010-12-03 15:37:00,0.0,,United Kingdom
537009,84534B,Unknown product,-80,2010-12-03 15:38:00,0.0,,United Kingdom
537010,22162,Unknown product,-40,2010-12-03 15:38:00,0.0,,United Kingdom
537011,22139,Unknown product,-5,2010-12-03 15:38:00,0.0,,United Kingdom
537012,21535,Unknown product,-12,2010-12-03 15:39:00,0.0,,United Kingdom
537013,35965,Unknown product,-25,2010-12-03 15:40:00,0.0,,United Kingdom
537014,21040,Unknown product,-20,2010-12-03 15:40:00,0.0,,United Kingdom
537015,37464,Unknown product,-14,2010-12-03 15:41:00,0.0,,United Kingdom
537016,21836,Unknown product,-15,2010-12-03 15:41:00,0.0,,United Kingdom
537017,47556B,Unknown product,-69,2010-12-03 15:41:00,0.0,,United Kingdom
537018,84562A,Unknown product,-3,2010-12-03 15:42:00,0.0,,United Kingdom
537019,37474,Unknown product,-15,2010-12-03 15:43:00,0.0,,United Kingdom
537020,21807,Unknown product,-30,2010-12-03 15:43:00,0.0,,United Kingdom
537021,21011,Unknown product,-20,2010-12-03 15:43:00,0.0,,United Kingdom
537027,18098C,Unknown product,-140,2010-12-03 16:36:00,0.0,,United Kingdom
537028,21696,Unknown product,-320,2010-12-03 16:36:00,0.0,,United Kingdom
537029,37476,Unknown product,-6,2010-12-03 16:37:00,0.0,,United Kingdom
537032,21275,?,-30,2010-12-03 16:50:00,0.0,,United Kingdom
537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,2010-12-05 14:02:00,0.0,12647.0,Germany
537361,21777,Unknown product,5,2010-12-06 12:34:00,0.0,,United Kingdom
537363,84569B,Unknown product,-20,2010-12-06 12:35:00,0.0,,United Kingdom
537364,21027,Unknown product,-70,2010-12-06 12:36:00,0.0,,United Kingdom
537401,84898F,Unknown product,-24,2010-12-06 14:37:00,0.0,,United Kingdom
537425,84968F,check,-20,2010-12-06 15:35:00,0.0,,United Kingdom
537426,84968E,check,-35,2010-12-06 15:36:00,0.0,,United Kingdom
537427,84968B,Unknown product,-21,2010-12-06 15:37:00,0.0,,United Kingdom
537430,85215,Unknown product,120,2010-12-06 16:05:00,0.0,,United Kingdom
537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,,United Kingdom
537436,84270,Unknown product,7,2010-12-06 17:00:00,0.0,,United Kingdom
537437,90167,Unknown product,10,2010-12-06 17:00:00,0.0,,United Kingdom
537438,22959,Unknown product,13,2010-12-06 17:00:00,0.0,,United Kingdom
537439,37474,Unknown product,1,2010-12-06 17:01:00,0.0,,United Kingdom
537449,21054,Unknown product,-30,2010-12-07 09:26:00,0.0,,United Kingdom
537450,20684,Unknown product,-19,2010-12-07 09:26:00,0.0,,United Kingdom
537451,84881,Unknown product,-11,2010-12-07 09:27:00,0.0,,United Kingdom
537452,20941,Unknown product,-24,2010-12-07 09:28:00,0.0,,United Kingdom
537453,21248,Unknown product,-18,2010-12-07 09:28:00,0.0,,United Kingdom
537454,21349,Unknown product,-44,2010-12-07 09:30:00,0.0,,United Kingdom
537455,22155,Unknown product,-70,2010-12-07 09:31:00,0.0,,United Kingdom
537466,21488,Unknown product,-50,2010-12-07 10:33:00,0.0,,United Kingdom
537534,85064,CREAM SWEETHEART LETTER RACK,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,84692,BOX OF 24 COCKTAIL PARASOLS,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,48184,DOORMAT ENGLISH ROSE,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,48111,DOORMAT 3 SMILEY CATS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22697,GREEN REGENCY TEACUP AND SAUCER,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22682,FRENCH BLUE METAL DOOR SIGN 7,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22681,FRENCH BLUE METAL DOOR SIGN 6,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22679,FRENCH BLUE METAL DOOR SIGN 4,5,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22686,FRENCH BLUE METAL DOOR SIGN No,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22683,FRENCH BLUE METAL DOOR SIGN 8,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22676,FRENCH BLUE METAL DOOR SIGN 1,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22625,RED KITCHEN SCALES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22624,IVORY KITCHEN SCALES,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22520,CHILDS GARDEN TROWEL BLUE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22524,CHILDRENS GARDEN GLOVES BLUE,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22502,PICNIC BASKET WICKER SMALL,29,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22501,PICNIC BASKET WICKER LARGE,2,2010-12-07 11:48:00,0.0,,United Kingdom
